ordinary_router_recorded	pass	running=1 server=3d5b158160b08cf8
ordinary_teardown	pass	no residue
preset_generated	pass	1 section
web_launch	pass	web_launch presets=$HOME/qwen-webui-state/web-admission-fake/web-presets.ini unvalidated_depth_marker=absent authorizer_ready=1 bind=127.0.0.1 models_max=1;web_launch broker_port=8571 broker_state_dir=$HOME/qwen-webui-state/web-admission-fake/web-mcp signing_key=configured profile=web-balanced-admission provider=fake;
router_listener_loopback	pass	127.0.0.1:8080,
broker_listener_loopback	pass	127.0.0.1:8571,
broker_pid_recorded	pass	broker_pid=2548437
broker_secret_mode	pass	600
router_roster	pass	web-balanced-admission,
served_context	observed	n_ctx=8192 requested=8192
router_tools_route	observed	status=403 {"error":{"message":"this feature is disabled","type":"feature_disabled"}}
child_port_discovered	pass	port=32963
tool_enumeration	pass	web_fetch_exa,web_search_exa, via http://127.0.0.1:32963
broker_health_identity	pass	profile=web-balanced-admission provider=fake pid=2548437
session_secret_issued	pass	status=200
session_foreign_origin_refused	pass	status=403
session_absent_origin_refused	pass	status=403
session_name_host_refused	pass	status=403
grant_issued	pass	status=200 bytes=439
grant_wrong_profile_refused	pass	status=403
grant_wrong_session_refused	pass	status=403
grant_foreign_origin_refused	pass	status=403
search_executed	pass	results=2
grant_replay_refused	pass	the authorization is spent; a grant admits one search and the operator issues another
search_without_grant_refused	pass	search_exa requires an authorization token issued by `server.py authorize`; the operator grants the query rather than th
fetch_by_result_id	pass	chars=632
fetch_allowance_enforced	pass	the per-search fetch budget of 1 is exhausted; a further document needs a new search
fetch_url_refused	pass	the result_id signature fails verification
model_proposes_search	observed	model=web-balanced-admission arguments={"query":"raven2 vulkan decode rate","max_results":3}
model_reads_tool_result	pass	Based on the search results, the decode rate for Raven2 with Vulkan decoding is:  **3.07 tok/s** on the 4B distill model.
secret_hygiene	pass	key, grant, session secret, and query text absent from process images, logs, status, and audit
web_teardown	pass	torn down: no server, tmux session, probe, approval broker, or router snapshot; port 8080 free
absence_proved	pass	router, child, broker, secret, and both ports
ordinary_restore	pass	models=lfm25-vl-16b,qwen35-08b,qwen35-08b-f16,qwen35-2b,qwen35-4b-base,qwen38-2b-distill,qwen38-4b-distill,
