model	contract	wall_ms	finish	names_enforcer	draws_distinction	conflates	invented	invented_list	outcome
lfm25-8b-a1b	swap-append	3271	stop	yes	no	no	0	-	fail
lfm25-8b-a1b	exec-preflight	3032	stop	yes	no	no	0	-	fail
lfm25-8b-a1b	usb-ownership	3260	stop	no	no	no	0	-	fail
lfm25-8b-a1b	signal-frame	2261	stop	no	no	no	0	-	fail
lfm25-8b-a1b	heap-refusal	3044	stop	yes	no	no	0	-	fail
lfm25-8b-a1b	swapram-exclusion	2336	stop	no	no	no	0	-	fail
phi4-mini	swap-append	1926	stop	yes	yes	no	0	-	pass
phi4-mini	exec-preflight	4927	stop	yes	yes	no	0	-	pass
phi4-mini	usb-ownership	3776	stop	yes	yes	no	0	-	pass
phi4-mini	signal-frame	2919	stop	yes	yes	no	0	-	pass
phi4-mini	heap-refusal	2351	stop	yes	yes	no	0	-	pass
phi4-mini	swapram-exclusion	1480	stop	no	no	no	0	-	fail
contracts_done
